,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
1336,257040,Ambrym,15286,Confirmed Eruption,New cone 3 km east of Marum,2.0,,,1986.0,,11.0,,13.0,,Historical Observations,,1986.0,,11.0,?,19.0,,-16.25,168.12
1337,211060,Etna,13817,Confirmed Eruption,Valle del Bove (3050-2180 m),2.0,,,1986.0,,10.0,,30.0,,Historical Observations,,1987.0,,3.0,,1.0,,37.748,14.999
1338,284070,Myojinsho,18329,Uncertain Eruption,Myojinsho,0.0,,,1986.0,,10.0,,24.0,,,,1986.0,,10.0,,24.0,,31.888,139.918
1339,290260,Chirinkotan,18829,Confirmed Eruption,,1.0,,,1986.0,,10.0,,11.0,,Historical Observations,,1986.0,,10.0,,12.0,,48.98,153.48
1340,263250,Merapi,15917,Confirmed Eruption,,2.0,,,1986.0,,10.0,,10.0,,Historical Observations,,1990.0,,8.0,?,16.0,15.0,-7.54,110.446
1341,332000,Loihi,20731,Uncertain Eruption,,0.0,,,1986.0,,9.0,,20.0,,,,1986.0,,9.0,,20.0,,18.92,-155.27
1342,355100,Lascar,11864,Confirmed Eruption,Western crater of east summit cone,3.0,,,1986.0,,9.0,,14.0,,Historical Observations,,1986.0,,9.0,,16.0,,-23.37,-67.73
1343,290240,Sarychev Peak,18817,Confirmed Eruption,,1.0,,,1986.0,,9.0,?,1.0,15.0,Historical Observations,,,,,,,,48.092,153.2
1344,224030,Oku Volcanic Field,14138,Uncertain Eruption,Lake Nyos,,,,1986.0,,8.0,,21.0,,,,1986.0,,12.0,?,30.0,,6.25,10.5
1345,331030,Cleft Segment,20719,Confirmed Eruption,"N Cleft Segment, S Juan de Fuca Ridge",0.0,,,1986.0,,8.0,?,16.0,15.0,Historical Observations,,,,,,,,44.83,-130.3
1346,263200,Dieng Volcanic Complex,15788,Confirmed Eruption,Sileri Crater,1.0,,,1986.0,,8.0,,6.0,,Historical Observations,,1986.0,,8.0,,6.0,,-7.2,109.879
1347,261160,Talang,15493,Uncertain Eruption,NE flank (Panjang Crater),1.0,,,1986.0,,7.0,,16.0,,,,1986.0,,10.0,,13.0,,-0.979,100.681
1348,223020,Nyamuragira,14073,Confirmed Eruption,South flank (near Kitazungurwa),2.0,,,1986.0,,7.0,,16.0,,Historical Observations,,1986.0,,8.0,,20.0,,-1.408,29.2
1349,255060,Kavachi,15172,Confirmed Eruption,,1.0,,,1986.0,,7.0,,5.0,,Historical Observations,,1986.0,,7.0,,23.0,,-8.991,157.979
1350,261120,Sorikmarapi,15414,Confirmed Eruption,,1.0,,,1986.0,,7.0,,5.0,,Historical Observations,,1986.0,,7.0,,14.0,,0.686,99.539
1351,261030,Peuet Sague,15375,Confirmed Eruption,,2.0,,,1986.0,,7.0,,2.0,182.0,Historical Observations,,,,,,,,4.903,96.289
1352,331020,CoAxial Segment,20711,Confirmed Eruption,"CoAxial segment, Juan de Fuca Ridge",0.0,,,1986.0,5.0,7.0,,2.0,182.0,Historical Observations,,,,,,,,46.52,-129.58
1353,284096,Nishinoshima,18365,Uncertain Eruption,,0.0,,,1986.0,,7.0,,2.0,182.0,,,1990.0,,7.0,,2.0,182.0,27.247,140.874
1354,284100,Kaitoku Seamount,18376,Uncertain Eruption,,0.0,,,1986.0,,6.0,,18.0,,,,1986.0,,6.0,,18.0,,26.127,141.102
1355,242050,Monowai,14710,Confirmed Eruption,,0.0,,,1986.0,,6.0,,16.0,15.0,Hydrophonic,,1986.0,,6.0,,16.0,15.0,-25.887,-177.188
1356,241130,Rumble III,14675,Confirmed Eruption,,0.0,,,1986.0,,6.0,,15.0,,Hydrophonic,,1986.0,,8.0,?,5.0,,-35.745,178.478
1357,300260,Klyuchevskoy,19467,Confirmed Eruption,,2.0,,,1986.0,,6.0,,8.0,,Historical Observations,,1986.0,,7.0,,11.0,,56.056,160.642
1358,272020,Kanlaon,16738,Confirmed Eruption,,2.0,,,1986.0,,6.0,,3.0,,Historical Observations,,1986.0,,8.0,,18.0,,10.412,123.132
1359,264220,Iliboleng,16324,Confirmed Eruption,,1.0,,,1986.0,,5.0,,28.0,,Historical Observations,,1986.0,,11.0,,24.0,,-8.342,123.258
1360,290390,Alaid,18890,Confirmed Eruption,,2.0,?,,1986.0,,5.0,,25.0,,Historical Observations,,1986.0,,5.0,,28.0,3.0,50.861,155.565
1361,311161,Korovin,19759,Uncertain Eruption,,1.0,,,1986.0,,5.0,,23.0,,,,,,,,,,52.381,-174.166
1362,333060,Macdonald,10322,Confirmed Eruption,,0.0,,,1986.0,,5.0,,16.0,,Hydrophonic,,1986.0,,8.0,,2.0,,-28.98,-140.25
1363,311240,Cleveland,19810,Confirmed Eruption,,2.0,,,1986.0,,4.0,,28.0,,Historical Observations,,1986.0,,5.0,>,27.0,,52.825,-169.944
1364,311310,Makushin,19989,Discredited Eruption,,,,,1986.0,,4.0,,28.0,,,,,,,,,,53.891,-166.923
1365,312030,Pavlof,20149,Confirmed Eruption,"NNE & SE summit vents, NE & SE flanks",3.0,,,1986.0,,4.0,,16.0,,Historical Observations,,1988.0,,8.0,,13.0,,55.417,-161.894
1366,284130,Fukutoku-Oka-no-Ba,17601,Uncertain Eruption,,0.0,,,1986.0,,4.0,,7.0,,,,1987.0,,6.0,,26.0,,24.285,141.481
